# parse from https://lhncbc.nlm.nih.gov/LSG/Projects/lvg/current/docs/designDoc/UDF/derivations/prefixList.html
Prefix,Precision,Instances,Occurrences,Exceptions
1,Afro,57.14%,21,12,9
2,Anglo,51.52%,33,17,16
3,Euro,35.29%,17,6,11
4,Franco,0.00%,6,0,6
5,Indo,52.38%,21,11,10
6,a,26.19%,1344,352,992
7,abs,0.00%,15,0,15
8,af,4.23%,71,3,68
9,allo,53.33%,285,152,133
10,ambi,46.67%,30,14,16
11,amphi,62.50%,40,25,15
12,an,35.31%,303,107,196
13,ana,17.00%,100,17,83
14,ante,54.55%,66,36,30
15,anti,73.95%,7052,5215,1837
16,apo,60.21%,191,115,76
17,arch,15.79%,38,6,32
18,astro,45.24%,42,19,23
19,at,3.57%,84,3,81
20,auto,43.18%,836,361,475
21,be,19.63%,219,43,176
22,bi,43.64%,912,398,514
23,bio,47.92%,1131,542,589
24,bis,71.56%,109,78,31
25,cardio,57.99%,338,196,142
26,circum,58.06%,124,72,52
27,cis,73.91%,46,34,12
28,co,35.63%,1395,497,898
29,col,8.14%,86,7,79
30,com,1.60%,187,3,184
31,con,12.24%,433,53,380
32,contra,37.50%,88,33,55
33,contro,25.00%,8,2,6
34,cor,6.09%,115,7,108
35,counter,54.69%,426,233,193
36,cryo,50.74%,337,171,166
37,crypto,63.93%,61,39,22
38,de,33.15%,1997,662,1335
39,demi,64.71%,17,11,6
40,demo,0.00%,19,0,19
41,deoxy,33.21%,271,90,181
42,di,70.64%,1720,1215,505
43,dif,5.00%,20,1,19
44,dis,31.94%,767,245,522
45,down,47.33%,243,115,128
46,du,1.56%,64,1,63
47,duo,53.85%,13,7,6
48,dys,62.79%,258,162,96
49,eco,38.89%,90,35,55
50,electro,50.45%,781,394,387
51,em,19.57%,92,18,74
52,en,28.45%,362,103,259
53,epi,47.24%,381,180,201
54,ex,15.38%,351,54,297
55,extra,68.37%,1489,1018,471
56,fore,41.67%,180,75,105
57,geo,50.39%,129,65,64
58,gyro,33.33%,15,5,10
59,haem,33.33%,69,23,46
60,haemo,47.53%,223,106,117
61,hem,20.25%,79,16,63
62,hemi,57.85%,446,258,188
63,hemo,47.58%,227,108,119
64,hetero,50.80%,376,191,185
65,homo,54.84%,341,187,154
66,hydro,58.33%,348,203,145
67,hyper,55.67%,1349,751,598
68,hypo,58.99%,712,420,292
69,ideo,37.04%,27,10,17
70,idio,34.69%,49,17,32
71,il,28.30%,53,15,38
72,im,21.96%,387,85,302
73,in,33.87%,1813,614,1199
74,infra,64.53%,516,333,183
75,inter,65.02%,4251,2764,1487
76,intra,65.64%,3661,2403,1258
77,ir,30.00%,150,45,105
78,iso,73.45%,825,606,219
79,macro,56.43%,342,193,149
80,mal,30.06%,173,52,121
81,maxi,25.00%,16,4,12
82,mega,62.50%,160,100,60
83,megalo,63.33%,30,19,11
84,meta,58.79%,643,378,265
85,micro,50.84%,2150,1093,1057
86,mid,51.03%,874,446,428
87,midi,100.00%,2,2,0
88,mini,58.70%,230,135,95
89,mis,48.75%,560,273,287
90,mono,61.55%,853,525,328
91,moto,20.83%,24,5,19
92,multi,56.92%,4120,2345,1775
93,neo,52.84%,405,214,191
94,non,75.16%,17599,13227,4372
95,ob,3.77%,53,2,51
96,oc,0.00%,30,0,30
97,of,0.00%,7,0,7
98,omni,44.00%,25,11,14
99,op,1.96%,51,1,50
100,ortho,67.53%,194,131,63
101,out,20.56%,355,73,282
102,over,47.61%,1506,717,789
103,oxy,64.97%,177,115,62
104,paed,0.00%,2,0,2
105,paedo,77.78%,9,7,2
106,paid,nan,0,0,0
107,paido,nan,0,0,0
108,paleo,48.48%,66,32,34
109,pan,51.91%,314,163,151
110,para,63.43%,998,633,365
111,ped,6.25%,16,1,15
112,pedo,31.82%,22,7,15
113,per,29.21%,291,85,206
114,peri,71.70%,1968,1411,557
115,photo,66.56%,978,651,327
116,pod,0.00%,16,0,16
117,poly,65.28%,1054,688,366
118,post,79.38%,9803,7782,2021
119,pre,73.48%,10090,7414,2676
120,preter,10.00%,10,1,9
121,pro,40.71%,1093,445,648
122,pros,16.67%,18,3,15
123,proto,57.23%,173,99,74
124,pseudo,62.45%,3515,2195,1320
125,pyr,17.24%,29,5,24
126,pyro,52.24%,134,70,64
127,quasi,61.16%,345,211,134
128,re,36.82%,4609,1697,2912
129,retro,50.26%,382,192,190
130,self,47.75%,865,413,452
131,semi,51.51%,963,496,467
132,socio,49.08%,218,107,111
133,step,11.26%,151,17,134
134,sub,62.44%,4417,2758,1659
135,sup,1.72%,58,1,57
136,super,48.44%,1602,776,826
137,supra,61.63%,1105,681,424
138,sur,12.63%,95,12,83
139,sy,0.00%,38,0,38
140,syl,0.00%,7,0,7
141,sym,16.07%,56,9,47
142,syn,25.00%,148,37,111
143,tele,50.00%,490,245,245
144,trans,49.54%,1191,590,601
145,tri,60.13%,903,543,360
146,twi,3.23%,31,1,30
147,ultra,41.03%,758,311,447
148,un,60.18%,2790,1679,1111
149,under,45.17%,746,337,409
150,uni,41.07%,319,131,188
151,up,25.16%,322,81,241
152,vice,78.57%,14,11,3
153,with,19.23%,26,5,21
